CVE_MUN,Municipios,,Suma de Total,,,,,,,,
189,"Tochtepec, Puebla",Tochtepec,5,65,"General Felipe Ángeles, Puebla",General Felipe Ángeles,1,0065,,,
211,"Zaragoza, Puebla",Zaragoza,5,66,"Guadalupe, Puebla",Guadalupe,1,0066,,,
6,"Ahuacatlán, Puebla",Ahuacatlán,4,67,"Guadalupe Victoria, Puebla",Guadalupe Victoria,7,0067,,,
72,"Huehuetla, Puebla",Huehuetla,4,68,"Hermenegildo Galeana, Puebla",Hermenegildo Galeana,1,0068,,,
88,"Jonotla, Puebla",Jonotla,4,69,"Huaquechula, Puebla",Huaquechula,5,0069,,,
89,"Jopala, Puebla",Jopala,4,70,"Huatlatlauca, Puebla",Huatlatlauca,0,0070,,,
109,"Pahuatlán, Puebla",Pahuatlán,4,71,"Huauchinango, Puebla",Huauchinango,65,0071,,,
117,"Rafael Lara Grajales, Puebla",Rafael Lara Grajales,4,72,"Huehuetla, Puebla",Huehuetla,4,0072,,,
124,"San Gabriel Chilac, Puebla",San Gabriel Chilac,4,73,"Huehuetlán el Chico, Puebla",Huehuetlán el Chico,2,0073,,,
138,"San Nicolás de los Ranchos, Puebla",San Nicolás de los Ranchos,4,74,"Huejotzingo, Puebla",Huejotzingo,59,0074,,,
148,"Santa Isabel Cholula, Puebla",Santa Isabel Cholula,4,75,"Hueyapan, Puebla",Hueyapan,10,0075,,,
167,"Tepetzintla, Puebla",Tepetzintla,4,76,"Hueytamalco, Puebla",Hueytamalco,12,0076,,,
173,"Teteles de Ávila Castillo, Puebla",Teteles de Ávila Castillo,4,77,"Hueytlalpan, Puebla",Hueytlalpan,1,0077,,,
213,"Zihuateutla, Puebla",Zihuateutla,4,78,"Huitzilán de Serdán, Puebla",Huitzilán de Serdán,1,0078,,,
214,"Zinacatepec, Puebla",Zinacatepec,4,79,"Huitziltepec, Puebla",Huitziltepec,3,0079,,,
26,"Calpan, Puebla",Calpan,3,80,"Atlequizayan, Puebla",Atlequizayan,0,0080,,,
58,"Chilchotla, Puebla",Chilchotla,3,81,"Ixcamilpa de Guerrero, Puebla",Ixcamilpa de Guerrero,0,0081,,,
40,"Cuautinchán, Puebla",Cuautinchán,3,82,"Ixcaquixtla, Puebla",Ixcaquixtla,2,0082,,,
44,"Cuyoaco, Puebla",Cuyoaco,3,83,"Ixtacamaxtitlán, Puebla",Ixtacamaxtitlán,6,0083,,,
61,"Eloxochitlán, Puebla",Eloxochitlán,3,84,"Ixtepec, Puebla",Ixtepec,0,0084,,,
79,"Huitziltepec, Puebla",Huitziltepec,3,85,"Izúcar de Matamoros, Puebla",Izúcar de Matamoros,36,0085,,,
93,"Lafragua, Puebla",Lafragua,3,86,"Jalpan, Puebla",Jalpan,1,0086,,,
98,"Molcaxac, Puebla",Molcaxac,3,87,"Jolalpan, Puebla",Jolalpan,0,0087,,,
125,"San Gregorio Atzompa, Puebla",San Gregorio Atzompa,3,88,"Jonotla, Puebla",Jonotla,4,0088,,,
129,"San José Miahuatlán, Puebla",San José Miahuatlán,3,89,"Jopala, Puebla",Jopala,4,0089,,,
163,"Tepatlaxco de Hidalgo, Puebla",Tepatlaxco de Hidalgo,3,90,"Juan C. Bonilla, Puebla",Juan C. Bonilla,10,0090,,,
175,"Tianguismanalco, Puebla",Tianguismanalco,3,91,"Juan Galindo, Puebla",Juan Galindo,2,0091,,,
182,"Tlanepantla, Puebla",Tlanepantla,3,92,"Juan N. Méndez, Puebla",Juan N. Méndez,0,0092,,,
202,"Xochitlán de Vicente Suárez, Puebla",Xochitlán de Vicente Suárez,3,93,"Lafragua, Puebla",Lafragua,3,0093,,,
205,"Yehualtepec, Puebla",Yehualtepec,3,94,"Libres, Puebla",Libres,21,0094,,,
210,"Zapotitlán de Méndez, Puebla",Zapotitlán de Méndez,3,95,"La Magdalena Tlatlauquitepec, Puebla",La Magdalena Tlatlauquitepec,0,0095,,,
13,"Altepexi, Puebla",Altepexi,2,96,"Mazapiltepec de Juárez, Puebla",Mazapiltepec de Juárez,0,0096,,,
14,"Amixtlán, Puebla",Amixtlán,2,97,"Mixtla, Puebla",Mixtla,1,0097,,,
25,"Ayotoxco de Guerrero, Puebla",Ayotoxco de Guerrero,2,98,"Molcaxac, Puebla",Molcaxac,3,0098,,,
46,"Chapulco, Puebla",Chapulco,2,99,"Cañada Morelos, Puebla",Cañada Morelos,1,0099,,,
36,"Coyomeapan, Puebla",Coyomeapan,2,100,"Naupan, Puebla",Naupan,0,00100,,,
60,"Domingo Arenas, Puebla",Domingo Arenas,2,101,"Nauzontla, Puebla",Nauzontla,0,00101,,,
63,"Esperanza, Puebla",Esperanza,2,102,"Nealtican, Puebla",Nealtican,1,00102,,,
73,"Huehuetlán el Chico, Puebla",Huehuetlán el Chico,2,103,"Nicolás Bravo, Puebla",Nicolás Bravo,1,00103,,,
82,"Ixcaquixtla, Puebla",Ixcaquixtla,2,104,"Nopalucan, Puebla",Nopalucan,7,00104,,,
91,"Juan Galindo, Puebla",Juan Galindo,2,105,"Ocotepec, Puebla",Ocotepec,2,00105,,,
105,"Ocotepec, Puebla",Ocotepec,2,106,"Ocoyucan, Puebla",Ocoyucan,8,00106,,,
123,"San Felipe Tepatlán, Puebla",San Felipe Tepatlán,2,107,"Olintla, Puebla",Olintla,1,00107,,,
136,"San Miguel Xoxtla, Puebla",San Miguel Xoxtla,2,108,"Oriental, Puebla",Oriental,5,00108,,,
158,"Tenampulco, Puebla",Tenampulco,2,109,"Pahuatlán, Puebla",Pahuatlán,4,00109,,,
161,"Tepanco de López, Puebla",Tepanco de López,2,110,"Palmar de Bravo, Puebla",Palmar de Bravo,9,00110,,,
166,"Tepeojuma, Puebla",Tepeojuma,2,111,"Pantepec, Puebla",Pantepec,1,00111,,,
170,"Tepeyahualco, Puebla",Tepeyahualco,2,112,"Petlalcingo, Puebla",Petlalcingo,1,00112,,,
188,"Tochimilco, Puebla",Tochimilco,2,113,"Piaxtla, Puebla",Piaxtla,0,00113,,,
